ID,Name,Ob,Fl,SourceYear,Relations,OtherRelations,Notes
288,Conor MacDermot,,ca 1410?,1436,Father of Ben Muman MacDermot,,
289,Sean MacDonough,,1436,1436,Husband of Ben Muman MacDermot,,
290,Una O'Conor Don,1436,,1436,"Daughter of O'Conor Don, wife of Brian MacDonough",,
291,Unknown O'Conor Don-1,,ca 1410?,1436,Father of Una O'Conor Don,,
292,Brian MacDonough,,1436,1436,Husband of Una O'Conor Don,,
293,Lasarfina MacDonough,1436,,1436,"Daughter of Conor MacDonough, wife of Cosnamach O'Dowda",,
294,Conor MacDonough,,ca 1410?,1436,Father of Lasarfina MacDonough,,
295,Cosnamach O'Dowda,,1436,1436,Husband of Lasarfina MacDonough,,"Possibly son of Brian O'Dowda and brother of Maolruanaidh? He would need to have been born before 1354 - not impossible, especially if Lasarfina outlived him; could also be son of Muirchertach Cleirach (from line of Brian's brother Donnchadh Mor)"
296,d. MacDonough-2,1439,,1439,"Daughter of Teige MacDonough, wife of Conor mac Donnell MacDonough",,
297,Teige MacDonough,,ca 1410?,1439,Father of d. MacDonough-2,,
298,Conor mac Donnell MacDonough,,1439,1439,Husband of d. MacDonough-2,,
299,d. MacOwen,,1439,1439,"Daughter of MacOwen, wife of Maguire",,
300,Unknown MacOwen,,ca 1410?,1439,Father of d. MacOwen,,
301,Unknown Maguire-1,,1439,1439,Husband of d. MacOwen,,
302,Mor Magauran,1439,,1439,"Daughter of Aedh Magauran, wife of Mac Brian MacManus",,
303,Aedh Magauran,,ca 1410?,1439,Father of Mor Magauran,,
304,Mac Brian MacManus,,1439,1439,Husband of Mor Magauran,,
305,Finola O'Doherty,1440,,1440,"Daughter of O'Doherty, wife of O'Donnell",,
306,Unknown O'Doherty-2,,ca 1420?,1440,Father of Finola O'Doherty,,Possibly = Unknown O'Doherty-1
307,Unknown O'Donnell-4,,1440,1440,Husband of Finola O'Doherty,,
308,Catherine Maguire,1440,,1440,"Daughter of Donn mac Cu-Connacht Maguire, wife of MagManus Maguire",,
309,Donn mac Cu-Connacht Maguire,,ca 1420?,1440,Father of Catherine Maguire,,
310,MacManus Maguire,,1440,1440,Husband of Catherine Maguire,,
311,Dubchablach Maguire,1444,,1444,"Daughter of Thomas Maguire, wife of Eogan MacCawell",,
312,Thomas Maguire,,ca 1420?,1444,Father of Dubchablach Maguire,,
313,Eogan MacCawell,,1444,1444,Husband of Dubchablach Maguire,,
314,Finola O'Conor Faly,1447,,1447,"Daughter of Calvagh O'Conor Faly, wife of O'Donnell and Aedh Buidhe O'Neill",,
315,Unknown O'Donnell-5,,1447,1447,Husband of Finola O'Conor Faly,,
316,Aedh Buidhe O'Neill,,1447,1447,Husband of Finola O'Conor Faly,,
317,Mor Maguire,1449,,1449,Daughter of Aedh mac Philip Maguire,,
318,Aedh mac Philip Maguire,,ca 1420?,1449,Father of Mor Maguire,,
319,Art mac Eogan O'Neill,,1449,1449,Husband of Mor Maguire,,
320,Seaan Burke,,ca 1380?,1406,Husband of Benmumhan O'Conor,,
321,Eileog Mac Costello,,1417,,"Daughter of Mac Costello, wife of Ruadhri O'Dowda, mother of Maolruanaidh O'Dowda-2",,O'Donovan HF
322,John Mac Costello,,ca 1390?,,Father of d. Mac Costello,,O'Donovan HF
323,Ruadhri O'Dowda,1417,,,Son of Maolruanaidh O'Dowda-1 and Fionnuala O'Malley; husband of Eileog Mac Costello; father of Maolruanaidh O'Dowda-2,,O'Donovan HF
324,Anabla Burke,,1417,,Daughter of Sir Redmund Burke; wife of Ruadhri O'Dowda,,O'Donovan HF
325,Sir Redmond Burke,,ca 1390?,,Father of Anabla Burke,,O'Donovan HF
326,d. Mac Wattin Barrett,,1447,,Daughter of Mac Wattin Barrett; wife of Maolruanaidh O'Dowda-2,,O'Donovan HF
327,Unknown Mac Wattin Barrett-1,,ca 1420?,,Father of d. Mac Wattin Burke,,O'Donovan HF
326,Maolruanaidh O'Dowda-2,1447,,,Son of Ruadhri O'Dowda and Eileog Mac Costello; husband of d. Mac Wattin Burke,,O'Donovan HF
327,Eudoin O'Conor,,1432,,Daughter of Domhnall mac Muirchertach O'Conor [Donnell mac Murtough O'Conor - 177]; wife of Tadhg Riabhach mac Domhnall Cleirich O'Dowda,,O'Donovan HF
328,Tadhg Riabhach O'Dowda,1432,,,Husband of Eudoin O'Conor and Margaret Burke; brother of Ruaidhri mac Domhnall Cleirich O'Dowda; son of Domhnall Cleirich O'Dowda,,
329,Margaret Burke-2,,1432,,Daughter of William mac Redmund Burke; wife of Tadhg Riabhach O'Dowda,,
330,William mac Redmond Burke,,ca 1410?,,Father of Margaret Burke-2,,
331,Teamhair O'Muirgheasa,,1380,,Daughter of O'Muirgheasa; wife of Domhnall Cleirich O'Dowda,,
332,Unknown O'Muirgheasa-1,,ca 1360?,,Father of Teamhair O'Muirgheasa,,
333,Fionnghuala O'Conor,,1380,,Daughter of Manus mac Cathal O'Conor; wife of Domhnall Cleirich O'Dowda,,
334,Manus mac Cathal O'Conor,,ca 1360?,,Father of Fionnghuala O'Conor,,
335,d. O'Cathain,,1380,,"Daughter of O'Cathain, wife of Domhnall Cleirich O'Conor",,
336,Unknown O'Cathain-1,,ca 1360?,,Father of d. O'Cathain,,
337,Maebh O'Malley,,ca 1360?,,Daughter of Domhnall Ruadh O'Malley; wife of Aodh O'Dowda; sister of Fionnghuala O'Malley,,
338,Aodh O'Dowda,,ca 1360?,,Husband of Maebh O'Malley; brother of Domhnall Cleirich; son of Brian O'Dowda and d. Robin Lawless,,
339,d. Robin Lawless,,ca 1350?,,Daughter of Robin Lawless; wife of Brian O'Dowda; mother of Aodh O'Dowda,,
340,Robin Lawless,,ca 1330?,,Father of d. Robin Lawless,,
341,Brian O'Dowda,1354,,,"Husband of d. Robin Lawless, Barrdubh O'Conor, and Honora Barrett-1; father of Aodh and Domhnall Cleirich",,
342,Barrdubh O'Conor,,ca 1350?,,Daughter of Domhnall O'Conor; wife of Brian O'Dowda; mother of Domhnall Cleirich,,
343,Domhnall O'Conor,,ca 1330?,,Father of Barrdubh O'Conor,,
344,Honora Barrett,,ca 1350?,,Daughter of Mac Wattin Barrett; wife of Brian O'Dowda,,
345,Unknown Mac Wattin Barrett-2,,ca 1330?,,Father of Honora Barrett,,
